"date","close","log_return"
2010-01-04,1132.98999023438,1.59160821671263
2010-01-05,1136.52001953125,0.311083196675987
2010-01-06,1137.14001464844,0.0545371887823443
2010-01-07,1141.68994140625,0.399321835465472
2010-01-08,1144.97998046875,0.287758307509556
2010-01-11,1146.97998046875,0.174523162858442
2010-01-12,1136.21997070312,-0.942544643894383
2010-01-13,1145.68005371094,0.829145633336026
2010-01-14,1148.4599609375,0.242348642141366
2010-01-15,1136.03002929688,-1.08821263012082
2010-01-19,1150.22998046875,1.24221512077369
2010-01-20,1138.0400390625,-1.06543866018614
2010-01-21,1116.47998046875,-1.9126657272988
2010-01-22,1091.76000976562,-2.23897796301085
2010-01-25,1096.78002929688,0.458755905379604
2010-01-26,1092.17004394531,-0.4212057847786
2010-01-27,1097.5,0.486828286861218
2010-01-28,1084.53002929688,-1.18881255342798
2010-01-29,1073.86999511719,-0.987779904998209
2010-02-01,1089.18994140625,1.41653055463697
2010-02-02,1103.31994628906,1.28895204452029
2010-02-03,1097.28002929688,-0.548935038253884
2010-02-04,1063.10998535156,-3.16358560498067
2010-02-05,1066.18994140625,0.289293036082672
2010-02-08,1056.73999023438,-0.890280310037461
2010-02-09,1070.52001953125,1.29558417735867
2010-02-10,1068.13000488281,-0.2235069428008
2010-02-11,1078.46997070312,0.963388233510187
2010-02-12,1075.51000976562,-0.274836611994189
2010-02-16,1094.86999511719,1.78406535362621
2010-02-17,1099.51000976562,0.422900459671016
2010-02-18,1106.75,0.656315773379568
2010-02-19,1109.17004394531,0.218423486359054
2010-02-22,1108.01000976562,-0.104640512491994
2010-02-23,1094.59997558594,-1.21766449451988
2010-02-24,1105.23999023438,0.967351969719044
2010-02-25,1102.93994140625,-0.208320855286548
2010-02-26,1104.48999023438,0.140439255685809
2010-03-01,1115.7099609375,1.0107257423603
2010-03-02,1118.31005859375,0.232773100288686
2010-03-03,1118.7900390625,0.0429109521400406
2010-03-04,1122.96997070312,0.372915607957136
2010-03-05,1138.69995117188,1.39102828016036
2010-03-08,1138.5,-0.0175611432176481
2010-03-09,1140.44995117188,0.171127202397248
2010-03-10,1145.60998535156,0.451435490421304
2010-03-11,1150.23999023438,0.403337431350614
2010-03-12,1149.98999023438,-0.0217369570092885
2010-03-15,1150.51000976562,0.0452092623436151
2010-03-16,1159.4599609375,0.774901498315916
2010-03-17,1166.2099609375,0.580479533256373
2010-03-18,1165.82995605469,-0.0325899126688789
2010-03-19,1159.90002441406,-0.50994264516131
2010-03-22,1165.81005859375,0.508235909918042
2010-03-23,1174.17004394531,0.714537778480029
2010-03-24,1167.71997070312,-0.550844788728888
2010-03-25,1165.72998046875,-0.170562108332817
2010-03-26,1166.58996582031,0.0737450615988067
2010-03-29,1173.21997070312,0.566714631279819
2010-03-30,1173.27001953125,0.00426584629309446
2010-03-31,1169.43005371094,-0.327824231803309
2010-04-01,1178.09997558594,0.738645400552418
2010-04-05,1187.43994140625,0.789672944308784
2010-04-06,1189.43994140625,0.168287887534913
2010-04-07,1182.44995117188,-0.589404296726226
2010-04-08,1186.43994140625,0.336866143085501
2010-04-09,1194.36999511719,0.666166829683146
2010-04-12,1196.47998046875,0.176505085714052
2010-04-13,1197.30004882812,0.0685166039836815
2010-04-14,1210.65002441406,1.10883630999083
2010-04-15,1211.67004394531,0.0842183991177414
2010-04-16,1192.13000488281,-1.62579824185478
2010-04-19,1197.52001953125,0.451114073953018
2010-04-20,1207.17004394531,0.802604573707111
2010-04-21,1205.93994140625,-0.101951643570164
2010-04-22,1208.67004394531,0.22613206430897
2010-04-23,1217.28002929688,0.709826768321875
2010-04-26,1212.05004882812,-0.430570435509292
2010-04-27,1183.7099609375,-2.36596401787015
2010-04-28,1191.35998535156,0.644195837818096
2010-04-29,1206.78002929688,1.28601802812893
2010-04-30,1186.68994140625,-1.67878101398662
2010-05-03,1202.26000976562,1.30352574532617
2010-05-04,1173.59997558594,-2.41271999574177
2010-05-05,1165.86999511719,-0.660834180078052
2010-05-06,1128.15002441406,-3.28884406439638
2010-05-07,1110.88000488281,-1.54266461809067
2010-05-10,1159.72998046875,4.30347041456152
2010-05-11,1155.7900390625,-0.340307591846667
2010-05-12,1171.67004394531,1.36459924018251
2010-05-13,1157.43994140625,-1.22194998892251
2010-05-14,1135.68005371094,-1.89789813879502
2010-05-17,1136.93994140625,0.11087536210086
2010-05-18,1120.80004882812,-1.42976317849977
2010-05-19,1115.05004882812,-0.514346886001604
2010-05-20,1071.58996582031,-3.97557958377659
2010-05-21,1087.68994140625,1.49126325857045
2010-05-24,1073.65002441406,-1.29920463236877
2010-05-25,1074.03002929688,0.0353874764652318
2010-05-26,1067.94995117188,-0.567707869365108
2010-05-27,1103.06005859375,3.23473117686763
2010-05-28,1089.41003417969,-1.24518923454051
2010-06-01,1070.7099609375,-1.73143533245987
2010-06-02,1098.38000488281,2.55144281083419
2010-06-03,1102.82995605469,0.404319198344272
2010-06-04,1064.88000488281,-3.50174420898304
2010-06-07,1050.46997070312,-1.36244661657159
2010-06-08,1062,1.09162676435188
2010-06-09,1055.68994140625,-0.595939674188806
2010-06-10,1086.83996582031,2.90798456661774
2010-06-11,1091.59997558594,0.437011574261703
2010-06-14,1089.63000488281,-0.180629393175646
2010-06-15,1115.22998046875,2.32224505985004
2010-06-16,1114.60998535156,-0.0556089354095235
2010-06-17,1116.0400390625,0.128218581238926
2010-06-18,1117.51000976562,0.13162641384552
2010-06-21,1113.19995117188,-0.386429794339893
2010-06-22,1095.31005859375,-1.62012250869896
2010-06-23,1092.0400390625,-0.298993926106927
2010-06-24,1073.68994140625,-1.6946283204951
2010-06-25,1076.76000976562,0.285528193154505
2010-06-28,1074.56994628906,-0.203600961065398
2010-06-29,1041.23999023438,-3.1508230342209
2010-06-30,1030.7099609375,-1.0164453973335
