"origin_index","origin_date","forecast_index","forecast_date","actual_log_return","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","seas_acf1","ARCH.LM","crossing_points","entropy","flat_spots","arch_acf","garch_acf","arch_r2","garch_r2","alpha","beta","hurst","lumpiness","nonlinearity","x_pacf5","diff1x_pacf5","diff2x_pacf5","seas_pacf","nperiods","seasonal_period","trend","spike","linearity","curvature","e_acf1","e_acf10","seasonal_strength","peak","trough","stability","hw_alpha","hw_beta","hw_gamma","unitroot_kpss","unitroot_pp","series_length"
1250,2014-12-18,1251,2014-12-19,0.455963796741887,-0.00269738698176014,0.0501699441000498,-0.576320363844989,0.393029282650547,-0.717674302444001,0.642612618880068,0,0.375502961228948,51,1,5,0.356160315498045,0.102001883244325,0.375502961228948,0.1757796300496,0.00010002126617379,0.000100001860304084,0.51808046230763,1.13602486360603,0.202683678412086,0.0282777654485016,0.446857259437332,0.949783975578371,0,0,1,0.211836156411394,0.000156575649166764,1.18364308289513,0.342682846014783,-0.203750829124614,0.097707757789669,0,0,0,0.0781278057402648,0,0,0,0.0827588009539099,-106.336155313764,100
1251,2014-12-19,1252,2014-12-22,0.380322247992737,0.010489985950695,0.0530820513326916,-0.555552216640507,0.357191416153291,-0.712524593757417,0.645833933079972,0,0.328690458348567,53,1,5,0.349253193898474,0.0662517919414692,0.328690458348567,0.121064699142684,0.000833818890845319,0.000100005587415923,0.528226163299367,1.06542361873873,0.21712632867044,0.031446723635819,0.436649864817156,0.812478404496928,0,0,1,0.122311063575054,0.000228734865135701,0.937290514976845,-0.111417166294547,-0.105818664543274,0.0712495569203956,0,0,0,0.0546104572475807,0,0,0,0.0869854115665746,-105.292625924842,100
1252,2014-12-22,1253,2014-12-23,0.174483862970476,0.00112305658253676,0.063567838682926,-0.581345813502306,0.400848862017436,-0.722908368264974,0.650975943737326,0,0.282061068848691,55,1,5,0.443812830855147,0.0943659257198357,0.282061068848691,0.115152896197167,0.000100152758150558,0.000100002479718313,0.528562773715222,1.05648041191249,0.188630094947778,0.047951171461236,0.491738078023448,1.06091788928085,0,0,1,0.132945985581601,0.000223153303421055,0.916237632014915,0.232420655806116,-0.139848992483391,0.080583119185632,0,0,0,0.0718650201514733,0,0,0,0.0722523740342543,-108.04188042849,100
1253,2014-12-23,1254,2014-12-24,-0.0139306241075055,0.00542359189047608,0.0608004572251176,-0.57183097151388,0.381547403589043,-0.718381005703707,0.631588598141299,0,0.283401428847864,52,1,5,0.432157027314523,0.0751247555112439,0.283401428847864,0.111214144079697,0.000100015810312053,0.000100005703034304,0.530762342109183,1.04990919785227,0.1746602075589,0.0453860193475582,0.46351015620086,0.943937343471563,0,0,1,0.127423036919395,0.000223622477301831,0.526016261920944,0.869047290952218,-0.13103734295108,0.0765856425824158,0,0,0,0.126938327229978,0,0,0,0.0726449106528582,-108.457787315187,100
1254,2014-12-24,1255,2014-12-26,0.330410998212116,0.0163776321390983,0.0608767054056836,-0.571317475765233,0.374277570420828,-0.721125544067111,0.626430648104374,0,0.27552735176986,54,1,5,0.405454854746313,0.0991398230577978,0.27552735176986,0.122052731989038,0.000100023255624931,0.000100000072029733,0.536565829238656,0.825095080868237,0.144938573952557,0.0475900102362955,0.450439942910445,1.06973950010888,0,0,1,0.131605305409157,0.000249220940855887,0.759362407458944,-0.174865383303512,-0.113551045603155,0.0809894694439612,0,0,0,0.139990922946731,0,0,0,0.0732047411331682,-106.284279123829,100
1255,2014-12-26,1256,2014-12-29,0.0861403428089602,0.0148354079646853,0.0568534206969011,-0.571238633927314,0.371823613822437,-0.715706915084555,0.616278976598849,0,0.271494992254377,53,1,5,0.41558935817179,0.102191302377007,0.271494992254377,0.123646313415,0.000100166242606623,0.000100158367736282,0.539214369896457,0.821962444376437,0.150017080374464,0.0483319609149879,0.477157008283757,1.05205577273725,0,0,1,0.137450270035049,0.000241987280855926,0.466435235392339,0.374815193504153,-0.130683237695556,0.0808611225327179,0,0,0,0.166167018131487,0,0,0,0.0747945533739782,-106.596484440038,100
1256,2014-12-29,1257,2014-12-30,-0.49005930345043,0.0139503453040042,0.0569335780251993,-0.565041836768143,0.365112884545734,-0.710009710974628,0.613311656248982,0,0.270445710038632,53,1,5,0.401398530820099,0.0743400387615743,0.270445710038632,0.109932790994507,0.000704835458833684,0.000100000173888139,0.539157378695364,0.627014979211551,0.152159517272686,0.0486602433073439,0.46039624387453,0.953323609740335,0,0,1,0.133106908991606,0.000247073411605436,0.309149210512943,0.49186340983359,-0.13140119087061,0.0831933004044287,0,0,0,0.216076698484752,0,0,0,0.0749432998713802,-107.728170933588,100
1257,2014-12-30,1258,2014-12-31,-1.03643835612504,0.0253674462343852,0.0578071910664662,-0.563733583960029,0.368385702701281,-0.719262836136706,0.637270575211951,0,0.268870348319012,53,1,5,0.400383240057392,0.0983733598097558,0.268870348319012,0.109302609674888,0.000100002581559346,0.000100001752730845,0.547702468219634,0.712817817576682,0.123740736023858,0.0483878026896214,0.448651394088693,1.03129029802801,0,0,1,0.134378353671268,0.000261083120109415,0.0737043938834055,0.353664657020894,-0.111863992411005,0.0834614228276253,0,0,0,0.202920691467215,0,0,0,0.0735891498279664,-105.203681939146,100
1258,2014-12-31,1259,2015-01-02,-0.0340021473135721,0.0322928867992838,0.0725866233436158,-0.566551114758208,0.377099931043879,-0.721194239591933,0.640506078864334,0,0.265983165222726,53,1,5,0.400793701034488,0.114040851992932,0.265983165222726,0.103934045919183,0.00010004533547536,0.000100003788486966,0.545966337262309,0.827025091306829,0.0996970941856569,0.0465928912023964,0.444793391804061,1.06397766340602,0,0,1,0.14150708684319,0.000262794333112754,-0.30284368771638,-0.390799127672107,-0.103503643599397,0.0788817727395818,0,0,0,0.171624026847887,0,0,0,0.063781453316348,-104.199901720389,100
1259,2015-01-02,1260,2015-01-05,-1.84472135325873,0.0349178562636808,0.0735673215151418,-0.564000409246423,0.376930631783071,-0.715714846672812,0.639317912652519,0,0.262245036347966,54,1,5,0.386843978160429,0.103595758184334,0.262245036347966,0.112135695980752,0.000104071699726718,0.000100000389578041,0.545890348105034,1.11290720843159,0.0937137882829258,0.046825722102072,0.452684036300457,0.981753443494272,0,0,1,0.113488325161248,0.000287344789665899,-0.301882197491005,-0.327158895717052,-0.0820397148107145,0.0919512601663722,0,0,0,0.081087532451443,0,0,0,0.0627877120086012,-104.177500483018,100
1260,2015-01-05,1261,2015-01-06,-0.89332546906995,0.0378559493039042,0.082363177242408,-0.565796247513456,0.377226267971069,-0.714956087802377,0.6399039798578,0,0.237368530912138,53,1,5,0.336584423589655,0.0383707859329325,0.237368530912138,0.102460545446252,0.000100011448991028,0.000100001405792517,0.560806758922204,1.21421956153845,0.0885299650902099,0.0585264279413663,0.436129696163434,0.975437367562981,0,0,1,0.152417220092231,0.000261425915518363,-1.25413658264058,-1.0497119824181,-0.0905214776049373,0.0681584873205636,0,0,0,0.0818699928197563,0,0,0,0.0758195285461764,-104.404394674714,100
1261,2015-01-06,1262,2015-01-07,1.15627358448762,0.0612425568235342,0.0898932804128666,-0.576999370398913,0.389698639607836,-0.720472859395021,0.644311284915712,0,0.22844189144419,51,0.993223999576111,5,0.327594071108894,0.0916574368158884,0.22844189144419,0.107230915703335,0.000100022628486396,0.000100000402780414,0.576219458192088,1.1255035522512,0.110210360227257,0.0617309668411753,0.462989773196911,1.0182464676119,0,0,1,0.150399504607773,0.000262332826947054,-1.39522474696792,-1.46876539553015,-0.0883638909396792,0.0691637552863449,0,0,0,0.0758445893965368,0,0,0,0.0818245255331381,-102.002412217254,100
1262,2015-01-07,1263,2015-01-08,1.77301681271551,0.0444514591004715,0.0719419828763567,-0.538853400191556,0.336715414676256,-0.709202662068787,0.625785427574558,0,0.224355436150775,51,1,5,0.334909808428019,0.0916566082929369,0.224355436150775,0.096115528221255,0.00010777782140347,0.000100012950319347,0.546732589398733,0.931551112750475,0.146563877814683,0.0471651264076853,0.395382052677815,0.876699655388167,0,0,1,0.111076978346758,0.00026350727634449,-0.488584916880998,-0.671521842577119,-0.0752199334369973,0.0852889562749017,0,0,0,0.0835119795473554,0,0,0,0.0647304738076319,-102.361961299634,100
1263,2015-01-08,1264,2015-01-09,-0.843932214707888,0.0718599709156235,0.0688933202348897,-0.52782670473469,0.330842742280119,-0.711966305382389,0.623129596495385,0,0.214503514788039,52,1,5,0.313229037357362,0.0929166303112623,0.214503514788039,0.0991989220459302,0.00022069799849509,0.000220688206611615,0.549318861234462,0.894875187151384,0.101985407637083,0.0417733286992071,0.361013458615011,1.01431122454499,0,0,1,0.123322704029796,0.000250868794127961,0.141773428872624,0.226183905312819,-0.0279340101032351,0.10057484528475,0,0,0,0.117580608338894,0,0,0,0.0572933677384945,-96.0537464773176,100
1264,2015-01-09,1265,2015-01-12,-0.812661684347038,0.0435192866215022,0.0639646332175829,-0.513359689066446,0.321074132252138,-0.680619608961294,0.582077706268291,0,0.202116211296528,51,1,5,0.30462082570407,0.0901037057242406,0.202116211296528,0.0958534972662258,0.000198620862260623,0.000198613628674195,0.52726576475948,0.718245521804508,0.0847626740704438,0.0398297374868728,0.414705149900695,0.754286868134558,0,0,1,0.0944971732137057,0.000256644544403938,-0.219944176887669,-0.728897614479962,-0.0451348485578505,0.0879061675456642,0,0,0,0.131964389147375,0,0,0,0.0608229605869416,-99.2205012496583,100
1265,2015-01-12,1266,2015-01-13,-0.258188543581639,0.0525546543439858,0.0539778973605854,-0.514375638748252,0.322111296638839,-0.689986085863789,0.593428827251868,0,0.197433666729655,49,1,5,0.291399409441288,0.087553307908555,0.197433666729655,0.0931130360003056,0.000785233935260728,0.000403668545700533,0.528493842463514,0.670444839830661,0.0668811594791709,0.0304152340092642,0.417874869720639,1.0037836969612,0,0,1,0.0955543965676259,0.000255184084953965,-0.204957289780006,-0.978189432369849,-0.0378704129974688,0.0797956765965057,0,0,0,0.153552898536934,0,0,0,0.0664509830934614,-96.9649327561844,100
1266,2015-01-13,1267,2015-01-14,-0.583002896797513,0.0550410716175359,0.0504607160029394,-0.512748291998074,0.321521115965157,-0.684859055978495,0.583557254078611,0,0.183603999733019,49,1,5,0.273233304082343,0.0894878008916813,0.183603999733019,0.0912834559968021,0.00214930696423575,0.000100000418423994,0.530547500325169,0.527858558477606,0.0635162828566595,0.0293351319766561,0.430842392265383,0.981435320756311,0,0,1,0.0939748439573074,0.000254892686909992,-0.0845019562924445,-1.28255147997701,-0.0358399402951776,0.0779632592237467,0,0,0,0.198457245649628,0,0,0,0.0693713838946382,-96.7930524370538,100
1267,2015-01-14,1268,2015-01-15,-0.929090300456803,0.0580972448124266,0.0497066040002182,-0.512092929687968,0.321048602324458,-0.68393039449879,0.579684363763503,0,0.180276420875466,48,1,5,0.263290901627246,0.0859345190429474,0.180276420875466,0.084673316364728,0.000273029429852979,0.000273012308081866,0.535317074548472,0.565518241833512,0.0563460252611598,0.030929047967362,0.425312347880055,0.998569901818297,0,0,1,0.0987031566020686,0.000258864502428124,-0.244530374928717,-1.5855017856425,-0.0353461098915758,0.0839374280351175,0,0,0,0.177150423201398,0,0,0,0.0752562062163109,-96.9736548550972,100
1268,2015-01-15,1269,2015-01-16,1.33348931862676,0.0667566538077925,0.059310742074248,-0.510738735981778,0.320948778963841,-0.685087853426823,0.581752941006044,0,0.176919443869593,47,1,5,0.253110629329187,0.0889670347515883,0.176919443869593,0.0845092719792849,0.000100736482583928,0.000100002430835147,0.546132276514251,0.617386596436034,0.0415636711609886,0.0409070401470815,0.418892042827749,1.01486239187905,0,0,1,0.10699201709917,0.00026055620677317,-0.79136776197432,-1.79169407537531,-0.0293992117385144,0.0873081647716162,0,0,0,0.157437955133037,0,0,0,0.085340340974605,-96.1666102754702,100
1269,2015-01-16,1270,2015-01-20,0.154875243340058,0.0472926376020009,0.0613561836228971,-0.49769642908112,0.328590083484055,-0.673626382963188,0.574445621452879,0,0.177311872791251,48,1,5,0.250775594696675,0.090501072298395,0.177311872791251,0.0870756235438104,0.000100016467793359,0.00010000014221222,0.523604074263799,0.833650440701208,0.0669526376094634,0.0381475350907044,0.391612546675737,0.855079280168458,0,0,1,0.0950907191128632,0.000234598430310255,0.019523770540075,-1.25246663886677,-0.0498961484605429,0.09407389023851,0,0,0,0.0643577722988043,0,0,0,0.073097134825077,-97.628143104528,100
1270,2015-01-20,1271,2015-01-21,0.472046502218948,0.0499695186373512,0.0623337898890035,-0.512501349221216,0.342391764384145,-0.675851366064684,0.584030980151105,0,0.175675649211551,48,1,5,0.23665076782812,0.08453494103383,0.175675649211551,0.0868383725780129,0.000100025813522687,0.000100000460959919,0.52441997479797,0.914122895875081,0.0660331224478374,0.0385893548445699,0.436032584061527,0.926228060664459,0,0,1,0.0954610861571079,0.000232042000225869,0.0448699725426453,-1.26808936661392,-0.0438710660463521,0.0972417092112689,0,0,0,0.0580959833183563,0,0,0,0.0731159609533586,-97.3991292648752,100
1271,2015-01-21,1272,2015-01-22,1.51543130706298,0.0507209501294756,0.0609263404453764,-0.514341945078026,0.341467352356107,-0.684043684485898,0.593588330348622,0,0.16711280981408,47,1,5,0.227934413513704,0.0727431768125354,0.16711280981408,0.0763481328062479,0.000100360693768899,0.000100026070408725,0.525165217700569,0.836459770858615,0.0613566516654994,0.0396245250866669,0.431450865173503,0.9972303428048,0,0,1,0.0942499943948157,0.000226367601956664,0.169036696915376,-1.18642696407192,-0.0419273865534892,0.0930841005846397,0,0,0,0.0606268677596748,0,0,0,0.0711592734804726,-97.6002824479064,100
1272,2015-01-22,1273,2015-01-23,-0.550665627930158,0.0593226503984835,0.0570571150603839,-0.507424905499024,0.331861096269873,-0.681081975328061,0.586794999875631,0,0.156755014818629,46,1,5,0.221990222896892,0.0839780332896631,0.156755014818629,0.119589535774067,0.000100034688256268,0.000100000338929498,0.532402222497319,0.678182847386874,0.0376722911532556,0.0432111564892228,0.407801302976108,0.982698783178475,0,0,1,0.128315810561152,0.000207854511710741,0.91870322611599,-0.208345246853304,-0.0512372044873592,0.0871106030960417,0,0,0,0.0722831281447779,0,0,0,0.0708354014247032,-97.1150613218922,100
1273,2015-01-23,1274,2015-01-26,0.256516799862272,0.0477469076745149,0.0487955914463962,-0.507809458488686,0.311123229405449,-0.670892799863149,0.556085046942002,0,0.148002620299594,46,1,5,0.207143180017915,0.0784019671292609,0.148002620299594,0.138303817789101,0.000100079808101942,0.000100000808113334,0.52237083859509,0.685267090699686,0.0374266024329362,0.0378607923335328,0.418785572337289,0.861507696974772,0,0,1,0.0934563373963568,0.0002112065595147,0.383266150605686,-1.09456292477706,-0.0421742725073397,0.0760882627480719,0,0,0,0.102986365772841,0,0,0,0.0727446041621149,-98.3163697182242,100
1274,2015-01-26,1275,2015-01-27,-1.34782878158575,0.0457932844499953,0.0489521920961951,-0.517344910101685,0.312804080246936,-0.678695932572324,0.545781634668779,0,0.145763687330956,47,1,5,0.199429062467931,0.0648152488958106,0.145763687330956,0.0717534830640241,0.000100006385120262,0.000100001453448851,0.522572844463246,0.528883094901416,0.0404426961742544,0.0375206716971259,0.436285376337329,0.976389817576702,0,0,1,0.0870358081564885,0.000209784183760219,0.753292345156685,-0.955787860822812,-0.0395901527396086,0.0722492341234394,0,0,0,0.119403643321159,0,0,0,0.0726362869889485,-98.8339850771939,100
1275,2015-01-27,1276,2015-01-28,-1.35875028110215,0.0403006867651142,0.0515549069299376,-0.516843947392009,0.311534273792455,-0.683990889771045,0.549389702599314,0,0.137960661888386,48,1,5,0.183207683670572,0.062521421727842,0.137960661888386,0.0749159091671672,0.00010003542271833,0.000100000478789731,0.516039225690608,0.475682864282698,0.0505489544619483,0.0356461580596188,0.394821207900819,0.929398146874653,0,0,1,0.0845971725621482,0.000205780390209096,0.147765165514064,-1.65918390672783,-0.0329467894913667,0.0767892623569799,0,0,0,0.138050945974453,0,0,0,0.069024679700381,-99.1306451705648,100
